judul_film,ringkasan_sinopsis,genre
Brownies,Film brownies bercerita tentang mel (marcella zalianty) yang memiliki hidup yang banyak diidam-idamkan oleh banyak perempuan di luar sana. Karir yang cemerlang serta hubungan asmara yang berjalan mulus. Mel sendiri bekerja sebagai seorang praktisi periklanan yang sukses. Karinya terus menanjak dari tahun ke tahun. Hingga sekarang ia berada di titik ini sekarang. Sedangkan hubungan asmaranya sendiri berjalan seperti apa yang mel inginkan. Kekasihnya yaitu joe adalah sosok yang selama ini ia idamkan. Bahkan mereka sudah bertunangan dan tinggal menunggu waktu saja sebelum naik ke pelaminan. Namun semua bayangan sempurna mel hancur berantakan dalam sekejap. Ketika ia memergoki tunangannya yaitu joe tengah bermesraan dengan wanita lain. Hal tersebut langsung membuat hati mel hancur berantakan. Ia kemudian menjadi depresi dan berubah total. Ia ingin sekali melampiaskan rasa frustasi sekaligus sakit hati miliknya. Hingga mel memutuskan untuk melampiaskannya dengan cara menjadi wanita yang bebas. Ia tidak ingin terikat dengan satu hal apapun. Ia banyak memacari pria kemudian memutuskannya dengan begitu saja. Bahkan sakit hati yang dirasakan oleh mel juga berdampak pada pekerjaanya. Karena mel sudah tidak bisa berkonsentrasi bekerja lagi sehingga banyak pekerjaannya yang menjadi berantakan. Hal tersebut tentu saja membuat sahabat-sahabat mel menjadi prihatin. Mereka tidak ingin mel terus tenggelam dalam rasa sakit hatinya. Mereka semua ingin mel yang seperti dulu lagi. Kemudian mereka mulai memperkenalkan mel dengan are (bucek depp) seorang pemilik toko buku namun sangat mahir sekali membuat brownies. Mereka semua tahu bahwa mel adalah seorang penggemar brownies namun selama ini mel selalu gagal membuat kue tersebut. Pertemuan pertama mel dengan are langsung menimbulan impresi di hati keduanya. Terutama bagi mel yang sangat kagum dengan pengetahuan luas are akan brownie. Sebuah kue yang selama ini menjadi favoritnya. Ketika hati mel mulai sembuh ternyata joe kembali dalam hidupnya. Ia meminta maaf atas kesalahannya dan meminta mel untuk melanjutkan pertunangan mereka. Hal tersebut tentu saja membuat mel berada dalam dilema. Dan akhirnya mel memasrahkan rasa yang ia miliki untuk menentukan pilihan yang terbaik untuk masa depannya. Brownies adalah sebuah film bertema drama.,Drama
Adèle,Seorang gadis muda Prancis membuat teman baru di Bali yang membawanya untuk melihat-lihat pemandangan. Dia mengungkapkan alasan sebenarnya dia melakukan perjalanan ke pulau Indonesia adalah untuk menemukan ayahnya. Film improvisasi mengambil gambar selama 24 jam.,Drama
An Extraordinary Mother,"Film ini mengikuti Sari sebelum kehamilan sampai setelah melahirkan. Kekuatan luar biasa dan keberaniannya telah membawa ibu ini untuk hidup, dan terus bertanggung jawab untuk keluarga. Baginya tidak ada jalan keluar, berhenti dari pekerjaannya sebagai petugas lalu lintas tidak resmi bukanlah pilihan. Hamil untuk kelima kalinya menempatkan Sari ke dalam jadwal yang lebih sibuk. Dia traumatis dan tidak percaya rumah sakit. Maka jawabannya adalah hanya bekerja lebih banyak jam untuk menghemat uang untuk membayar seorang bidan yang ia percayai. Pernyataan Direktur tentang Topik, Cerita, dan Pendekatan: Sebagaimana dinyatakan di atas dalam ringkasan topik, masalah ini tampaknya terus ada tanpa menghiraukan janji yang diajukan oleh beberapa politisi dalam kampanye mereka. Saya menemukan terlalu banyak tantangan tanpa kemungkinan untuk memproduksi film dengan banyak fakta dan angka yang tercakup dari semua slide untuk membuat sesuatu dalam keseimbangan yang baik. Keputusannya adalah saya memilih pendekatan yang seolah-olah film ini adalah narasi dengan Sari sebagai protagonis. Lapisan pendukung lainnya dipimpin oleh aktor pendukung. Pendekatan ini membuat saya tidak ingin membuat film dokumenter jurnalistik. Untuk ini, saya butuh 5 tahun untuk mengerjakan proyek karena saya harus bekerja lebih dekat dengan editor dan melakukan banyak koreksi. Pengalaman Direktur tentang Topik: Ibu saya mengalami situasi yang sama seperti Sari. Akhirnya, sebelum akhirnya meninggal karena sakit, kita semua harus meninggalkan sekolah. Pada saat yang sama, ayah kami meninggalkan kami.",Drama
Iblis Jalanan: Street Demon,"Di antara dokumenter suram yang melapisi festival, Salman Farizi Iblis Jalanan merasa seperti menghirup udara segar. Bersemangat dengan warna, berdenyut dengan kehidupan, dan menegangkan seperti penampilan para pemberani itu sendiri. Awalnya tujuan pembuat film hanya untuk merekam klip video dengan tindakan Daredevils ini sebagai latar belakang, tapi mungkin hal-hal menarik tidak? Film dokumenter ini mengikuti sekelompok pemberani yang menceritakan kisah mereka tentang bagaimana mereka terlibat dalam bisnis ini, hidup di pinggir untuk mendapatkan sedikit uang setiap malam. Mereka menceritakan kisah hidup mereka seperti seorang bintang rock, dengan minuman keras, adonan, dan chicas. Mungkin yang kurang dari film dokumenter itu adalah kekurangan",Drama
Precious Herbs,"Dokumenter dari tahun 1937 difilmkan di kota kecil Malabar di Jawa Barat, Indonesia. Mengikuti seluruh proses pembuatan teh dari ditanam dan dipanen di ladang, digiling dan diproses di pabrik, dan akhirnya dikirim ke negara-negara di seluruh dunia. Rekaman yang sangat baik dari pria dan wanita Indonesia yang bekerja di ladang dan pabrik, dibayar dengan upah rendah oleh atasan Kaukasia, dan kerja dalam sebuah pabrik. Tembakan hebat dari penumpang kapal laut yang duduk di kursi santai di atas secangkir teh.",Drama
Anak sabiran di balik cahaya gemerlapan: Sang arsip,Anak Sabiran di Balik Cahaya Gemerlapan (Sang Arsip) mencoba membaca gagasan pengarsipan film yang ada di dalam pikiran Misbach Yusa Biran. Seorang tokoh yang menyerahkan seluruh hidupnya untuk mengawetkan wacana dan memaknainya kembali sebagai sumber sejarah perfilman Indonesia. Seluruhnya tersimpan di Sinematek Indonesia,Drama
Anak-Anak Srikandi,Anak-Anak Srikandi adalah film pertama tentang perempuan aneh di Indonesia negara dengan populasi Muslim terbesar di dunia. Delapan cerita otentik dan puitis terjalin dengan adegan-adegan indah teater bayangan yang menceritakan kisah Srikandi salah satu karakter dari Mahabharata India. Antologi kolektif ini melampaui batas antara film dokumenter fiksi dan eksperimental,Drama
Banda the Dark Forgotten Trail,Pada abad pertengahan segenggam pala bernilai lebih dari satu peti emas di Pasar Eropa. Monopoli perang Arab dan perang salib membawa negara-negara Eropa dalam perlombaan untuk menemukan pulau rempah-rempah yang kemudian memicu bentrokan bangsa-bangsa. Banda satu-satunya tempat di mana pala tumbuh menjadi tempat bangsa-bangsa Eropa bertempur. Belanda melepaskan klaim mereka ke Manhattan dengan imbalan Rhun sebuah pulau kecil di Banda sebuah koloni Inggris untuk mendapatkan monopoli perdagangan pala dan fuli yang menguntungkan. Di Banda perbudakan dan pembantaian pertama terjadi di Indonesia. Tetapi di sana juga semangat nasionalisme dan identitas multikultural lahir.,Drama
Denok & Gareng,"Berhadapan dengan rentetan harapan, rencana, dan kegagalan secara terus-menerus, mantan anak-anak jalanan, Denok dan Gareng bersatu demi memperjuangkan kesuksesan di masa depan. Pasangan muda ini mencoba peruntungan mereka, memulai bisnis kecil dengan menjual babi di tengah lingkungan yang mayoritas muslim. Berbagai tantangan datang silih berganti, menguji kesabaran dan keyakinan mereka.
 Film ini melakukan eksplorasi terhadap kemampuan sebuah keluarga untuk bersatu, berjuang, dan tertawa bersama di hadapan nasib, serupa Sisyphus dalam mitologi Yunani.
 Berhadapan dengan rentetan harapan, rencana, dan kegagalan secara terus-menerus, mantan anak-anak jalanan, Denok dan Gareng bersatu demi memperjuangkan kesuksesan di masa depan. Pasangan muda ini mencoba peruntungan mereka, memulai bisnis kecil dengan menjual babi di tengah lingkungan yang mayoritas muslim. Berbagai tantangan datang silih berganti, menguji kesabaran dan keyakinan mereka.Film ini melakukan eksplorasi terhadap kemampuan sebuah keluarga untuk bersatu, berjuang, dan tertawa bersama di hadapan nasib, serupa Sisyphus dalam mitologi Yunani.",Drama
Tarling is Darling,Sebagai musik tradisional Tarling Dangdut sangat dicintai dan dikecam karena dianggap cabul. Film ini bercerita tentang seorang penulis lagu Tarling Dangdut yang suka berpacaran tetapi berusaha untuk melayani pesanan untuk menulis lagu tarling dangdut agama. TARLING IS DARLING adalah film dokumenter musik yang diperlakukan sebagai film hiburan yang menghibur. Itu ditembak dengan pendekatan yang sangat intim untuk semua karakternya menggunakan teknik single-shot-cinema. Para penonton akan dibawa ke acara-acara pribadi yang paling memukau dan tidak sesuai karakternya.,Drama
Terraform,perjuangan SANG KIAI di era 1942 sampai 1947 lewat Resolusi Jihad-nya serta perjuangan orang-orang di sekitarnya. K.H. Wahid Hasyim putra Sang Kiai bersama-sama dengan para santri yang dikomandoi oleh Harun berusaha mencari jalan keluar dengan caranya masing-masing untuk membebaskan Sang Kiai dari tangkapan serdadu Jepang.,Drama
The Year of Living Vicariously,Dokumentasi split-screen ini oleh sutradara Malaysia mengisahkan penembakan film Indonesia Gie (2005) di pertengahan tahun 2004 yang juga saat negara ini sedang menjalani pemilihan presiden langsung pertamanya. Pendapat dari para pemain kru dan tambahan film ini dicari dalam politik pembuatan film dan mitos-mitos nasional di masa lalu dan sekarang.,Drama
Menarung Jiwani,"Di tahun 2014 di desa kecil di Gianyar, Bali. Penduduk setempat menyebut Banjar Sengguan sebagai desa para penari Barong. Nyoman Sjendra dan Wayan Runa adalah dua lelaki muda yang tumbuh besar di keluarga penari di desa Sengguan.",Drama
Prison and Paradise,"Film Penjara dan Surga yang berdurasi 93 menit berkisah mengenai peristiwa bom Bali 12 Oktober 2002 yang masih menyisakan perdebatan panjang terkait pergerakan Islam, jihad Islam, bom bunuh diri dan terorisme. Salah satu fragmennya bercerita mengenai pemulihan duka dari keluarga korban Bom Bali yang melibatkan Imam Samudra, Ali Gufron, Amrozi dan Ali Imron itu.",Drama
Rock in Solo: Heritage Metalfest,Tentang konser rock yang diadakan di kota Solo,Drama
"Kitos, Selamat Tinggal Kota Merah",Dokumenter ini merupakan catatan harian tentang pengalaman singkat di kota Tampere yang disebut sebagai Kota Merah. Menceritakan sejarah kota industri tersebut dari kacamata pendatang yang berasal dari Indonesia.,Drama
3600 Detik,3600 Detik bercerita tentang kehidupan Sandra (Shae) yang berubah saat malam ketika orangtuanya bercerai; dia mewarnai rambutnya merah dan juga mengubah kepribadiannya. Hal ini menyebabkan teman-temannya ingin menjauh darinya. Ibunya (Wulan Guritno) kemudian memutuskan untuk pindah ke kota lain dengan Sandra. Di sekolah barunya Sandra berkenalan dengan Leon (Steven William) seorang siswa cerdas yang terbaik di kelasnya. Tidak ada yang ingin berteman dengan Sandra karena tingkah lakunya yang aneh kecuali Leon. Mereka menghabiskan banyak waktu bersama dan Leon mulai memiliki pengaruh baik pada Sandra. Sampai suatu hari Leon tidak bisa dihubungi. Tampaknya Leon memiliki rahasia besar.,Drama
A Man Called Ahok,"Ahok ""Daniel Mananta"" dilahirkan dalam sebuah keluarga dengan seorang ayah ""Chew Kin Wah"" seorang pengusaha pertambangan. Tapi bisnisnya tidak lancar karena orang korup. Masalah-masalah ini membuat hubungan mereka menjadi dingin. Ahok mengikuti langkah ayahnya Kim Nam membuka tambang di Belitung. Namun ternyata orang yang sama itu membuat bisnisnya bangkrut. Selain itu keluarga Ahok juga mengalami peristiwa tragis. Dalam kondisi panik Ahok ingat pesan ayahnya untuk menjadi pemimpin dan akhirnya dia bertekad untuk terjun ke dunia politik.",Drama
Tanah air beta,"Tahun 1998. Timor-Timur berpisah dari Indonesia, membuat perpisahan harus terjadi. Banyak keluarga yang mendapatkan konflik internal antara tetap berada di Indonesia, yakni di Kupang, atau memutuskan berpindah ke Timor Timur. Sebuah keluarga yang ayahnya sudah wafat adalah salah satu keluarga yang menerima konflik tersebut. Merry (Griffit Patricia) memutuskan untuk memilih tetap berada di Indonesia dan bersekolah di sekolah kecil yang berguru ibunya, Tatiana (Alexandra Gottardo). Mereka berdua berpisah dengan kakak Merry, Mauro yang memilih tinggal di Timor Timur bersama pamannya. Dirumah mereka, mereka berteman dengan pemilik toko kelontong; Koh Ipin (Robby Tumewu) dan Cik Irene (Tessa Kaunang). Disekolah, Merry adalah korban kejahilan teman sebayanya, Carlo (Yahuda Rumbindi) yang sebenarnya hanya menginginkan seorang adik. Ia dirawat oleh seorang keturunan Arab bernama Abu Bakar (Asrul Dahlan) yang juga bersahabat dengan Tatiana setelah Ibu Carlo meninggal. Tatiana rajin pergi ke pengungsian untuk bertemu seorang relawan bernama Lukman (Lukman Sardi) untuk mencari tahu info mengenai Mauro. Di antara potret sosial tentang kehidupan di pengungsian itu, Merry menduga ibunya sakit keras karena terbatuk-batuk. Dokter puskesmas kenalan Tatiana dan Merry, Dr. Joseph (Ari Sihasale) diminta Merry untuk memeriksa Tatiana. Tatianapun diperiksa oleh Dr. Joseph, dan dibantu oleh Abu Bakar. Tatiana diceritakan oleh Abu Bakar mengenai berita yang disampaikan Lukman tentang Mauro beberapa hari yang lalu yang membuat Merry gembira karena menduga Mauro akan ke tempatnya. Ternyata Mauro yang berada disana tidak menyukai ibunya yang tidak pernah menengoknya, padahal itu semua adalah salah kaprah karena waktu tiba Mauro dan Tatiana selalu tidak sama. Maka, Mauro hanya meminta Merrylah yang bertemu dengannya. Hal yang diceritakan di puskesmas itu didengar oleh Merry yang ingin menjenguk ibunya, Merrypun bertekad pergi ke perbatasan sendirian dengan uang tabungannya. Cik Irene berbaik hati memberikan bekal untuk Merry. Merrypun pergi sendiri dengan menggunakan bus hingga sampai ke terminal terdekat dengan perbatasan (yang juga masih sangat jauh dari perbatasan). Bertanya kepada seorang sopir, ia mengetahui jalan ke perbatasan dan nekat berjalan kaki. Abu Bakar dan Tatiana yang baru saja pulang, mengetahui Merry sudah tidak ada. Tatianapun menduga Merry mendengar pembicaraannya dengan Abu Bakar. Abu Bakarpun segera menyuruh Carlo untuk mencari Merry. Carlo sampai ke terminal terakhir dan mendapat info dari sopir yang ditanyai Merry. Carlo juga berjalan kaki, tetapi ia beruntung menemukan mobil pengangkut. Iapun ikut dan berhasil menemukan Merry dijalan. Segera setelah ditinggal oleh mobil pengangkut, Merry pingsan. Merrypun dibawa ke puskesmas terdekat dan cukup sehat untuk melanjutkan perjalanan. Perjalanan yang mereka lalui tidak mudah karena sedikitnya kendaraan yang lewat. Usaha yang ulet membuat mereka sampai di perbatasan. Mereka bertemu Lukman, Merry menunjukkan foto keluarganya dan hubungan darahnya denga Mauro dan Tatiana. Lukman mengatakan bahwa Mauro sudah sampai di perbatasan. Merry dan Carlo pergi ke perbatasan dimana keluarga yang berpisah saling bertemu. Disana, lewat lagu Kasih Ibu, Merry bertemu dengan Mauro. Saat mereka tengah berangkulan, Merry meluruskan kesalahpahaman Mauro. Tepat saat itu, Tatiana dan Abu Bakar datang. Tatiana segera pergi ke Mauro dan Merry, dan berpelukan.",Drama
Tendangan dari langit,Wahyu (16 tahun) memiliki kemampuan luar biasa dalam bermain sepak bola. Ia tinggal di Desa Langitan di lereng gunung Bromo bersama ayahnya seorang penjual minuman hangat di kawasan wisata gunung api itu dan ibunya. Demi membahagiakan orang tuanya Wahyu memanfaatkan keahliannya dalam bermain bola dengan menjadi pemain sewaan dan bermain bola dari satu tim desa ke tim desa lain dengan bantuan Hasan pamannya. Sayangnya Pak Darto ayah Wahyu sangat tidak menyukai apa yang dilakukan anaknya. Suatu hari saat Wahyu bermain bola dengan rekan-rekannya keahlian istimewanya tak sengaja dilihat oleh Coach Timo yang tengah hiking bersama Matias di lereng Bromo. Pelatih Timo kemudian menawari Wahyu untuk datang ke Malang dan menjalani tes bersama Persema Malang. Sayangnya berbagai ujian dalam meraih kesempatan emas bermain bersama Irfan Bachdim dan Kim Kurniawan di Persema mendapat banyak halangan. Selain harus memilih antara cintanya kepada Indah dan impiannya untuk bermain bola di jenjang yang lebih tinggi Wahyu juga harus mampu meyakinkan Pak Darto. Belum lagi ternyata Hasan memiliki kepentingannya sendiri terhadap Wahyu. Selain berbagai rintangan yang harus ia hadapi layaknya seorang pemain bola sebelum mencetak gol Wahyu juga harus menghadapi tantangan terakhir dari dirinya sendiri. Sebuah penyakit yang biasa menyerang anak-anak usia enam belas tahun seperti Wahyu.,Drama
3 Nafas Likas,3 Nafas Likas adalah sebuah film Indonesia yang diproduksi oleh Oreima Films dan diarahkan oleh peraih sutradara terbaik Piala Citra 2013 Rako Prijanto(Sang KiaiUngu Violet D'Bijis) serta berdasarkan naskah garapan Titien Watimena. Dibintangi oleh Atiqah Hasiholan Vino G. Bastian Tuti Kirana Marissa Anita Mario Irwinsyah Tissa Biani Azzahra Jajang C Noer. 3 Nafas Likas akan memulai proses syuting pada 26 April 2014 selama kurang lebih dua bulan. Film ini akan mengambil lokasi di beberapa kota di Sumatera Utara Jakarta dan Ottawa Kanada. Rencananya akan dirilis pada bulan September 2014. Pada 22 April 2014 saat melakukan syukuran menjelang syuting di Sate Khas Senayan Pakubuwono dijelaskan bahwa 3 Nafas Likas merupakan film yang berdasarkan kisah nyata seorang tokoh bernama Likas Tarigan yang kemudian lebih dikenal sebagai Likas Gintings istri dari Let.Jend. Djamin Gintings. Dalam kesempatan yang sama juga diumumkan bahwa proyek film ini bisa direalisasikan atas persetujuan keluarga besar Djamin Gintings. Salah satu anak pasangan Djamin Ginting-Likas Tarigan Riahna Djamin Ginting menjadi produser eksekutif (executive producer) film ini. Riahna Djamin Gintings yang mewakili keluarga besar Djamin Gintings juga mengatakan bahwa film 3 Nafas Likas merupakan kado khusus yang dipersembahkan untuk kedua orang tua mereka. Ia juga mengatakan bahwa film ini bukan hanya sekadar kisah tentang sebuah keluarga melainkan sebuah kisah universal yang bisa diterima oleh semua orang.,Drama
Aib #Cyberbully,8 teman terperangkap dalam permainan berbahaya. Mereka mengungkapkan tindakan memalukan masing-masing untuk membebaskan diri dari permainan.,Drama
Air Mata Terakhir Bunda,Film ini menceritakan perjuangan dan pengorbanan seorang Ibu yang berperan sebagai orang tua tunggal bagi kedua anak laki-lakinya Delta Santoso (Vino G Bastian) dan Iqbal (Rizky Hanggono). Sang Ibu Sriyani (Happy Salma) gigih mewujudkan mimpinya untuk menghantar putranya menjadi manusia yang menghargai ilmu kerja keras dan kejujuran. Sang Putra kesayangan Delta tumbuh menjadi laki-laki yang memiliki cita-cita memenuhi mimpi ibundanya dan membalas kasih sayang orang orang terdekat yang mengayominya tanpa pamrih dengan kata lain Delta adalah laki-laki yang tidak pernah bisa lepas dari sosok ibundanya. Keteguhan Sriyani menanamkan pentingnya nilai pendidikan kekuatan Sriyani dalam menanamkan nilai pentingnya memperjuangkan harapan pengorbanannya yang tanpa pamrih dan tanpa kesedihan.,Drama
Akibat pergaulan bebas,Akibat himpitan ekonomi dan deraan masalah dalam keluarga mereka tiga sahabat Kanya Dinda dan Zizi akhirnya harus terjerumus dalam kehidupan pelacuran muram yang tak pernah mereka bayangkan.,Drama
Alas Pati: Hutan Mati,RAYA (Nikita Willy) bersama empat sahabatnya VEGA (Stefhanie Zamora) JESSY (Naomi Paulinda) RENDY (Roy Sungkono) dan DITO (Jeff Smith) nekat pergi ke daerah hutan angker yang di kenal dengan nama Alas Pati sebuah kawasan hutan mati demi membuat video Dokumenter tentang pekuburan aneh yang berada di dalam hutan. Keinginan itu dilakukan demi untuk meningkatkan viewers (penonton) channel youtube yang mereka miliki yang selama ini tidak banyak penggemarnya.,Drama
Aruna & Lidahnya,Seorang ahli epidemiologi mencoba memuaskan obsesinya dengan makanan ketika dia ditugaskan untuk menyelidiki kasus flu burung.,Drama
Babi buta yang ingin terbang,Linda dan Cahyono dua anak muda yang berteman sejak kecil bertemu kembali. Halim seorang dokter gigi penyendiri tiba-tiba memutuskan untuk menikahi sang asisten nan cantik. Salma akhirnya berhasil muncul di Planet Idol. Romi dan Yahya mendapatkan kesempatan untuk ‘melatih’ kemampuan seksual secara penetrasi. Opa meninggal dunia dan Linda mengajak Cahyono membuang abunya. Cahyono pun berhasil menerima siapa dirinya sebenarnya. Babi Buta yang Ingin Terbang adalah seluruh penggalan cerita tersebut. Sebagaimana sebuah gambar kaleidoskop film ini mengisahkah pengalaman-pengalaman penuh cobaan tentang kehidupan komunitas minoritas yang hingga kini belum juga terpenuhi harapannya.,Drama
Badai jalanan,Rudy (George Rudy) pembalap dan ahli bela diri bekerja sebagai montir. Ia merasa bertanggung jawab terhadap masa depan adik almarhum pacarnya. Untuk memenuhi kebutuhan itu ia melakukan pertarungan jalanan untuk mendapat uang. Dalam suatu pertarungan Kiki (Kiki Fatmala) pacar Johny (Johny Indo) yang sering mengadakan taruhan jalanan. Lewat kawannya Illa (Illa Doth) Kiki mengetahui latar belakang Rudy. Ia menaruh simpati pada Rudy dan kemudian mereka pacaran. Mengetahui hubungan itu Johny marah diseretlah Kiki ke markas gang. Ketika Kiki hendak disiksa oleh rekan satu gang Johny melarang terjadilah perkelahian Johny kalah. Rudy datang dan menaklukkan semuanya Johny bertobat.,Drama
Barbi3,Barbi3 mengisahkan tentang sebuah kelompok yang sangat terkenal di kampus. Kelompok tersebut bernama bling-bling girls. Mereka terdiri dari tiga wanita cantik yang terkenal serta juga kaya. Tiga wanita tersebut adalah marion (titi kamal) alya (poppy sovia) dan aline (francine rosenda). Namun selain cantik dan juga kaya geng tersebut juga terkenal karena kesombongannya. Mereka sering kali memamerkan barang-barang mahal yang mereka miliki kepada mahasiswa-mahasiwa lain. Bukan hanya itu mereka juga sering kali menindas orang lain yang mereka anggap selalu berada di bawah mereka.,Drama
